REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,longitude,latitude
1950-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148980.0,,,,0,1,1
1950-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,524271.0,,,t,0,1,1
1950-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151601.0,,,,0,1,1
1950-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,410679.0,,,t,0,1,1
1950-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728.0,,,,0,1,1
1950-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,362184.0,,,t,0,1,1
1950-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152475.0,,,,0,1,1
1951-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,342961.0,,,t,0,1,1
1951-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912.0,,,,0,1,1
1951-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,311067.0,,,t,0,1,1
1951-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,142427.0,,,,0,1,1
1951-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,391893.0,,,t,0,1,1
1951-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161213.0,,,,0,1,1
1951-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,490631.0,,,t,0,1,1
1951-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291.0,,,,0,1,1
1951-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,672815.0,,,t,0,1,1
1951-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156407.0,,,,0,1,1
1951-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,802135.0,,,t,0,1,1
1951-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223.0,,,,0,1,1
1951-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,756699.0,,,t,0,1,1
1951-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291.0,,,,0,1,1
1951-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,720873.0,,,t,0,1,1
1951-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291.0,,,,0,1,1
1951-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,630873.0,,,t,0,1,1
1951-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543.0,,,,0,1,1
1951-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,562718.0,,,t,0,1,1
1951-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155970.0,,,,0,1,1
1951-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,417233.0,,,t,0,1,1
1951-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912.0,,,,0,1,1
1951-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,369174.0,,,t,0,1,1
1951-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,153786.0,,,,0,1,1
1952-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,346893.0,,,t,0,1,1
1952-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154660.0,,,,0,1,1
1952-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,328543.0,,,t,0,1,1
1952-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728.0,,,,0,1,1
1952-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,403689.0,,,t,0,1,1
1952-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163834.0,,,,0,1,1
1952-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,523398.0,,,t,0,1,1
1952-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912.0,,,,0,1,1
1952-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,695533.0,,,t,0,1,1
1952-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,160339.0,,,,0,1,1
1952-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,810436.0,,,t,0,1,1
1952-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151601.0,,,,0,1,1
1952-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,769368.0,,,t,0,1,1
1952-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155097.0,,,,0,1,1
1952-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,718689.0,,,t,0,1,1
1952-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156407.0,,,,0,1,1
1952-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,651844.0,,,t,0,1,1
1952-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155533.0,,,,0,1,1
1952-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,567087.0,,,t,0,1,1
1952-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161213.0,,,,0,1,1
1952-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,429466.0,,,t,0,1,1
1952-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,158592.0,,,,0,1,1
1952-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,407184.0,,,t,0,1,1
1952-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,165145.0,,,,0,1,1
1953-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,383155.0,,,t,0,1,1
1953-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,167766.0,,,,0,1,1
1953-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,348640.0,,,t,0,1,1
1953-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154660.0,,,,0,1,1
1953-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,440825.0,,,t,0,1,1
1953-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,170825.0,,,,0,1,1
1953-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,565339.0,,,t,0,1,1
1953-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163834.0,,,,0,1,1
1953-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,723932.0,,,t,0,1,1
1953-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,164708.0,,,,0,1,1
1953-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,857621.0,,,t,0,1,1
1953-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161650.0,,,,0,1,1
1953-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,802135.0,,,t,0,1,1
1953-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,162087.0,,,,0,1,1
1953-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,737038.0,,,t,0,1,1
1953-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163834.0,,,,0,1,1
1953-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,650097.0,,,t,0,1,1
1953-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,162524.0,,,,0,1,1
1953-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,586310.0,,,t,0,1,1
1953-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,173009.0,,,,0,1,1
1953-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,449126.0,,,t,0,1,1
1953-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163398.0,,,,0,1,1
1953-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,421165.0,,,t,0,1,1
1953-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,170388.0,,,,0,1,1
1954-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,384029.0,,,t,0,1,1
1954-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,169077.0,,,,0,1,1
1954-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,362184.0,,,t,0,1,1
1954-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159902.0,,,,0,1,1
1954-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,470097.0,,,t,0,1,1
1954-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,181310.0,,,,0,1,1
1954-04,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,579320.0,,,t,0,1,1
1954-04,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,169951.0,,,,0,1,1
